Year,Sunspot_Count,Republican_Count
1960,112.3,36
1962,37.6,34
1964,10.2,32
1966,47.0,36
1968,105.9,43
1970,104.5,44
1972,68.9,42
1974,34.5,38
1976,12.6,38
1978,92.5,41
1980,154.6,53
1982,115.9,54
1984,45.9,53
1986,13.4,45
1988,100.2,45
1990,142.6,44
1992,94.3,43
1994,29.9,52
1996,8.6,55
1998,64.3,55
2000,119.6,50
2002,104.0,51
2004,40.4,55
2006,15.2,49
